game_id,winner
201406270CHN,home
201404240PIT,away
201409252WAS,home
201405280BOS,home
201405060COL,home
201405040ATL,away
201406220SDN,away
201406220MIA,home
201406110COL,home
201408010HOU,home
201409160COL,away
201405220COL,away
201408270PHI,home
201408130KCA,home
201405090DET,away
201404120CHA,home
201409050LAN,home
201407020SDN,home
201407120TEX,away
201405290OAK,away
201404160PHI,away
201404050DET,home
201408130NYN,away
201407060ATL,away
201404270NYA,home
201407040PIT,home
201406080DET,away
201408090PHI,away
201406070TEX,away
201408100PIT,away
201406150ATL,home
201408070NYA,home
201409200MIN,away
201408100ARI,away
201404210PIT,home
201409111CLE,home
201409070TBA,away
201406140PHI,home
201409080CLE,home
201406280TOR,away
201406240ARI,home
201408110SEA,home
201406190CLE,home
201409280BOS,away
201408240BOS,away
201408290SDN,home
201408190CHA,away
201405160ARI,away
201404020DET,home
201408190CHN,home
201404090KCA,home
201404080PHI,home
201408310HOU,home
201408120CIN,away
201405100SDN,home
201404060PIT,home
201404180MIA,home
201405230DET,home
201407210COL,away
201405260MIN,away
201405260MIL,away
201404110PHI,home
201405270MIN,home
201404040TBA,home
201405270MIL,home
201409210PIT,home
201408220LAN,home
201405200TBA,away
201406100SEA,away
201408240CIN,home
201409120ARI,away
201404210WAS,away
201408190WAS,home
201409170SDN,away
201408150BOS,away
201407130TBA,home
201405230ANA,home
201409120ANA,away
201405100PIT,home
201408010ARI,away
201404130BAL,home
201408210LAN,home
201407200TOR,home
201408250TOR,away
201407260TEX,away
201406030WAS,home
201404290KCA,away
201406110NYN,away
201406070KCA,home
201407250NYA,home
201406140MIA,away
201406140MIL,home
201407190OAK,away
201405170ARI,away
201408160TBA,away
201409140TEX,away
201408030BAL,home
201404300KCA,home
201405020COL,away
201408270CHA,home
201405160BOS,away
201406040SDN,home
201405140SFN,away
201404210CLE,home
201409040CLE,home
201405030COL,home
201408160LAN,away
201405310ARI,away
201406270SDN,away
201404290CHA,away
201406130ATL,home
201405280CHA,home
201405240MIA,home
201409240BOS,away
201404220CLE,away
201408200MIA,away
201407220SLN,away
201407120SEA,home
201407060CIN,home
201406120SEA,away
201404190COL,home
201405230SEA,home
201408310CHA,home
